Patch Number,"Regional strain value, cardiac phase_1","Regional strain value, cardiac phase_2","Regional strain value, cardiac phase_3","Regional strain value, cardiac phase_4","Regional strain value, cardiac phase_5","Regional strain value, cardiac phase_6","Regional strain value, cardiac phase_7","Regional strain value, cardiac phase_8","Regional strain value, cardiac phase_9","Regional strain value, cardiac phase_10","Regional strain value, cardiac phase_11"
4953,0,-0.026259331170904,-0.184054405091002,-0.0986669295710126,-0.134950668674951,-0.102222215793853,-0.0479415242437067,-0.102278644525228,-0.060326031313452,-0.059410660407068,0.00042026783915694
4954,0,-0.00999650439049582,-0.0421296699624434,-0.113921558807944,-0.146938117688159,-0.119908740377707,-0.0974895546582022,-0.0812600749703284,-0.044628608750325,0.0104629121631357,-0.00661116021436714
4955,0,-0.0318604536602574,-0.176204485559666,-0.0805957920253109,-0.126854252490113,-0.099634533241474,-0.045359951066954,-0.0952142419747127,-0.0540992837220141,-0.07350822571555,-0.00192366663534382
4956,0,-0.0175046908842518,-0.035369302361154,-0.115995166204866,-0.153866323289575,-0.123677980293153,-0.0974010149644327,-0.0819729505422794,-0.045182970212073,0.0192967491157241,-0.0148045193263696
4957,0,-0.0325410725832047,-0.171539604236874,-0.0692878914666344,-0.121090284830129,-0.113601109169587,-0.0637849114260037,-0.107159711133728,-0.0752875404197966,-0.0836558094430148,-0.00693429133225554
4958,0,-0.0127777128185284,-0.0492488419187556,-0.110034356350275,-0.133691419482493,-0.119225262154152,-0.11763287686677,-0.0845575967091303,-0.0505933199071312,-0.00315340099231698,-0.020554392436276
4959,0,-0.0444566577148685,-0.154090108560411,-0.0688693923522679,-0.121218807392454,-0.128560649709632,-0.059380269888587,-0.0926098418438693,-0.0444463566066877,-0.0681676048486588,0.0102502330205096
4960,0,0.00792624483250859,-0.0417850165753545,-0.0906528682381074,-0.114091562400407,-0.105968201799822,-0.123852350443053,-0.0863134230507422,-0.0436932362798724,-0.0102473624217502,-0.0188998119124413
4961,0,-0.0414860565769274,-0.145108591109449,-0.0786810388025819,-0.122967739909443,-0.136065059122107,-0.0624104729006822,-0.0854514776642513,-0.0345764429859085,-0.0587370179016714,0.0237646690371862
4962,0,-0.00361884150789327,-0.0514863709655317,-0.0937002981341247,-0.118075997160852,-0.121261213217065,-0.138722108645125,-0.094066338270149,-0.0525180899048319,-0.0116839758148615,-0.0209318742055083
