x coordinate,y coordinate,z coordinate
97.5,86.25,50.625
97.5,88.125,50.625
97.5,116.25,50.625
99.375,90,50.625
99.375,116.25,50.625
101.25,88.125,50.625
101.25,114.375,50.625
101.25,86.25,50.625
103.125,84.375,50.625
103.125,114.375,50.625
105,82.5,50.625
105,114.375,50.625
106.875,84.375,50.625
106.875,112.5,50.625
108.75,84.375,50.625
108.75,112.5,50.625
110.625,82.5,50.625
110.625,108.75,50.625
110.625,110.625,50.625
112.5,80.625,50.625
112.5,105,50.625
112.5,106.875,50.625
114.375,80.625,50.625
114.375,103.125,50.625
116.25,80.625,50.625
116.25,93.75,50.625
116.25,95.625,50.625
116.25,97.5,50.625
116.25,99.375,50.625
116.25,101.25,50.625
118.125,78.75,50.625
118.125,86.25,50.625
118.125,88.125,50.625
118.125,90,50.625
118.125,91.875,50.625
118.125,99.375,50.625
120,78.75,50.625
120,82.5,50.625
120,84.375,50.625
121.875,80.625,50.625
121.875,84.375,50.625
123.75,82.5,50.625
121.875,86.25,50.625
123.75,88.125,50.625
123.75,80.625,50.625
125.625,78.75,50.625
125.625,86.25,50.625
127.5,80.625,50.625
127.5,82.5,50.625
127.5,84.375,50.625
60,97.5,50.625
58.125,97.5,52.5
60,95.625,52.5
60,99.375,50.625
58.125,99.375,52.5
60,101.25,50.625
58.125,101.25,52.5
60,103.125,52.5
61.875,95.625,50.625
61.875,93.75,52.5
61.875,97.5,50.625
61.875,103.125,50.625
61.875,105,52.5
63.75,91.875,50.625
61.875,91.875,52.5
63.75,90,52.5
63.75,93.75,50.625
63.75,95.625,50.625
63.75,105,50.625
63.75,106.875,50.625
61.875,106.875,52.5
63.75,108.75,52.5
65.625,90,50.625
65.625,88.125,52.5
65.625,91.875,50.625
65.625,93.75,50.625
65.625,106.875,52.5
67.5,90,50.625
67.5,88.125,52.5
67.5,91.875,50.625
67.5,101.25,52.5
67.5,103.125,52.5
67.5,105,50.625
67.5,106.875,50.625
67.5,108.75,50.625
65.625,108.75,52.5
67.5,110.625,50.625
65.625,110.625,52.5
67.5,112.5,50.625
65.625,112.5,52.5
67.5,114.375,52.5
69.375,90,50.625
69.375,88.125,52.5
69.375,99.375,52.5
69.375,101.25,52.5
69.375,108.75,50.625
69.375,110.625,50.625
69.375,112.5,50.625
69.375,114.375,50.625
69.375,116.25,50.625
67.5,116.25,52.5
69.375,118.125,52.5
71.25,88.125,50.625
71.25,86.25,52.5
71.25,99.375,52.5
71.25,110.625,50.625
71.25,112.5,50.625
71.25,114.375,50.625
71.25,116.25,50.625
71.25,118.125,52.5
73.125,86.25,50.625
73.125,84.375,52.5
73.125,110.625,50.625
73.125,112.5,50.625
73.125,114.375,50.625
73.125,116.25,52.5
75,84.375,52.5
75,112.5,50.625
75,114.375,52.5
76.875,82.5,52.5
76.875,114.375,52.5
78.75,82.5,52.5
78.75,114.375,52.5
80.625,82.5,52.5
80.625,114.375,52.5
82.5,82.5,52.5
82.5,114.375,52.5
84.375,82.5,52.5
84.375,114.375,52.5
86.25,82.5,52.5
86.25,91.875,52.5
86.25,93.75,52.5
86.25,114.375,52.5
88.125,84.375,50.625
88.125,82.5,52.5
88.125,91.875,52.5
88.125,93.75,52.5
88.125,114.375,52.5
90,84.375,52.5
90,91.875,52.5
90,116.25,52.5
91.875,84.375,52.5
91.875,116.25,52.5
93.75,82.5,52.5
93.75,116.25,52.5
95.625,84.375,52.5
95.625,116.25,52.5
97.5,84.375,52.5
97.5,116.25,52.5
99.375,86.25,52.5
99.375,88.125,52.5
99.375,114.375,52.5
101.25,84.375,52.5
101.25,114.375,52.5
103.125,82.5,52.5
103.125,114.375,52.5
105,82.5,52.5
105,112.5,52.5
106.875,84.375,52.5
106.875,112.5,52.5
108.75,82.5,52.5
108.75,110.625,52.5
110.625,80.625,52.5
110.625,106.875,52.5
110.625,108.75,52.5
112.5,80.625,52.5
112.5,103.125,52.5
112.5,105,52.5
114.375,78.75,52.5
114.375,99.375,52.5
114.375,101.25,52.5
116.25,78.75,52.5
116.25,91.875,52.5
116.25,97.5,52.5
118.125,78.75,52.5
118.125,82.5,52.5
118.125,84.375,52.5
118.125,86.25,52.5
118.125,88.125,52.5
118.125,90,52.5
118.125,93.75,50.625
118.125,91.875,52.5
118.125,95.625,52.5
120,80.625,52.5
120,93.75,52.5
120,84.375,52.5
121.875,82.5,52.5
120,86.25,52.5
121.875,88.125,50.625
120,88.125,52.5
121.875,90,50.625
120,90,52.5
121.875,91.875,52.5
121.875,80.625,52.5
123.75,78.75,52.5
123.75,88.125,52.5
123.75,90,52.5
125.625,78.75,52.5
125.625,88.125,52.5
127.5,80.625,52.5
127.5,82.5,52.5
127.5,84.375,52.5
127.5,86.25,52.5
58.125,95.625,52.5
56.25,95.625,54.375
58.125,93.75,54.375
56.25,97.5,54.375
56.25,99.375,54.375
58.125,101.25,54.375
60,93.75,52.5
60,91.875,54.375
60,103.125,54.375
61.875,90,52.5
60,90,54.375
61.875,88.125,54.375
60,105,54.375
61.875,106.875,54.375
63.75,88.125,54.375
63.75,108.75,54.375
65.625,86.25,54.375
63.75,110.625,54.375
63.75,112.5,54.375
65.625,114.375,54.375
67.5,86.25,54.375
67.5,116.25,54.375
69.375,86.25,54.375
69.375,118.125,54.375
71.25,84.375,54.375
71.25,118.125,54.375
73.125,82.5,54.375
73.125,118.125,54.375
75,82.5,54.375
75,116.25,52.5
75,118.125,54.375
76.875,80.625,54.375
76.875,116.25,54.375
78.75,80.625,54.375
78.75,116.25,54.375
80.625,80.625,54.375
80.625,114.375,54.375
82.5,80.625,54.375
82.5,114.375,54.375
84.375,80.625,54.375
84.375,114.375,54.375
86.25,80.625,54.375
86.25,90,54.375
86.25,116.25,54.375
88.125,80.625,54.375
88.125,90,54.375
88.125,91.875,54.375
88.125,116.25,54.375
90,82.5,52.5
90,80.625,54.375
90,88.125,54.375
90,90,54.375
90,116.25,54.375
91.875,82.5,54.375
91.875,88.125,54.375
91.875,90,54.375
91.875,116.25,54.375
93.75,82.5,54.375
93.75,88.125,54.375
93.75,114.375,54.375
95.625,82.5,54.375
95.625,114.375,54.375
97.5,84.375,54.375
97.5,86.25,54.375
97.5,114.375,54.375
99.375,86.25,54.375
99.375,112.5,54.375
101.25,84.375,54.375
101.25,112.5,54.375
103.125,82.5,54.375
103.125,110.625,54.375
103.125,112.5,54.375
105,82.5,54.375
105,108.75,54.375
105,110.625,54.375
106.875,82.5,54.375
106.875,105,54.375
106.875,106.875,54.375
106.875,108.75,54.375
106.875,110.625,54.375
108.75,80.625,54.375
108.75,101.25,54.375
108.75,103.125,54.375
108.75,105,54.375
108.75,106.875,54.375
108.75,108.75,54.375
110.625,80.625,54.375
110.625,101.25,54.375
110.625,103.125,54.375
110.625,105,54.375
112.5,78.75,54.375
112.5,99.375,54.375
112.5,101.25,54.375
114.375,78.75,54.375
114.375,99.375,54.375
116.25,78.75,54.375
116.25,82.5,54.375
116.25,97.5,54.375
118.125,76.875,54.375
118.125,80.625,54.375
118.125,84.375,54.375
118.125,86.25,54.375
118.125,88.125,54.375
118.125,95.625,54.375
120,78.75,54.375
120,82.5,54.375
120,86.25,54.375
120,90,54.375
120,91.875,52.5
120,93.75,54.375
121.875,78.75,52.5
121.875,76.875,54.375
120,80.625,54.375
120,88.125,54.375
121.875,90,54.375
121.875,91.875,54.375
123.75,76.875,54.375
123.75,86.25,54.375
123.75,88.125,54.375
125.625,78.75,54.375
125.625,84.375,54.375
125.625,86.25,54.375
127.5,78.75,52.5
127.5,76.875,54.375
127.5,80.625,54.375
127.5,82.5,54.375
129.375,78.75,54.375
131.25,78.75,52.5
131.25,76.875,54.375
131.25,80.625,54.375
133.125,78.75,54.375
54.375,95.625,56.25
56.25,93.75,56.25
