Patch Number,"Regional strain value, cardiac phase_1","Regional strain value, cardiac phase_2","Regional strain value, cardiac phase_3","Regional strain value, cardiac phase_4","Regional strain value, cardiac phase_5","Regional strain value, cardiac phase_6","Regional strain value, cardiac phase_7","Regional strain value, cardiac phase_8","Regional strain value, cardiac phase_9"
5357,0,-0.141917027911649,-0.124177606330742,-0.229279839879774,-0.207688501871034,-0.23875616434384,-0.25743442162862,-0.0476051330053254,-0.0320233188690667
5358,0,-0.0262579607226413,-0.129678207622075,-0.120648209487744,-0.158308944973633,-0.156680565682038,-0.0630822404082672,-0.021895463526855,0.0365956537729228
5359,0,-0.138008761248197,-0.179509429508523,-0.233888114711481,-0.238127675142849,-0.239584438688138,-0.225240765917018,-0.0471388585871326,-0.0114525342885843
5360,0,-0.0590210277182129,-0.128166303467821,-0.197546939084488,-0.20586377846241,-0.192673901764001,-0.137632847015461,-0.0174609527576779,0.00823228159325673
5361,0,-0.128415674152435,-0.187837734166879,-0.194649902664714,-0.204835571976376,-0.19790490585214,-0.155578311841638,-0.0422902173544394,0.00367234578301723
5362,0,-0.0770229396546679,-0.160218972943999,-0.222912616897324,-0.236194221734752,-0.195105573218954,-0.13100680439803,-0.016238826305587,0.0258888327661966
5363,0,-0.126795647952615,-0.176407497177718,-0.162206536374098,-0.178578448443657,-0.179447913419756,-0.129076567835637,-0.0469392540032212,0.0104801735951268
5364,0,-0.0227789532870506,-0.124907534480877,-0.122486339401187,-0.169964633943081,-0.149542317783745,-0.054518442235171,-0.0311549320191495,0.0400651627236523
5365,0,-0.139392631723739,-0.157897466497525,-0.150701561213752,-0.183011511519861,-0.200024758726196,-0.176102894525176,-0.0694997476838298,0.00106200457951888
5366,0,-0.0535467114998567,-0.128110309296217,-0.18606513097312,-0.191063314274219,-0.184330452454855,-0.121956387402291,-0.0241376965288859,0.00903315477107935
5367,0,-0.138031593906725,-0.168678112065108,-0.126810875565784,-0.160547386718619,-0.174919342543412,-0.135689579986106,-0.071928052855733,0.00945402702215081
5368,0,-0.0713743978050101,-0.151283020889301,-0.211698540325393,-0.207742315338524,-0.18315147267036,-0.116926378037613,-0.0200192597625487,0.0258411407321428
5369,0,-0.128987240799454,-0.177810848947227,-0.103294870972833,-0.130772076924878,-0.143435018447855,-0.0889334089445364,-0.0641412059249751,0.0171080870984441
5370,0,-0.0201703596541633,-0.126248258169165,-0.125685235138902,-0.163203202123431,-0.148944810256468,-0.0469803132442836,-0.047205670020632,0.0396032720462729
5371,0,-0.12417990422461,-0.178826278013268,-0.0879872240641363,-0.119679214780862,-0.135778489101962,-0.072781971395776,-0.0672385729365088,0.0227800102190088
5372,0,-0.0162373032689264,-0.122394971753439,-0.126964600645566,-0.157884441043302,-0.146907846737344,-0.0438589589605755,-0.0525508927796488,0.0412311875381877
5373,0,-0.143408148375122,-0.113340739926256,-0.0622960836366184,-0.0844594115635966,-0.112761143957167,-0.0579823201020357,-0.0759780246077687,0.0239547295470925
5374,0,-0.0346228384529564,-0.13199220427225,-0.159697906822868,-0.16355064978032,-0.148578858433779,-0.0569464450539409,-0.0425028444224261,0.0492251328146829
5375,0,-0.146341768353157,-0.119844703135849,-0.052961587772009,-0.079535230940858,-0.106068270654579,-0.0427502281283103,-0.0850446125962424,0.0323621382975565
5376,0,-0.108261115392891,-0.176458753274385,-0.0672047023498605,-0.099371109327973,-0.105491530273926,-0.0411445368949115,-0.0776615848421393,0.0309047198968702
5377,0,-0.0315879298600312,-0.129036111172618,-0.160066942807035,-0.157821912360402,-0.146918798625947,-0.05766908591299,-0.0479444823069061,0.0478194990643468
5378,0,-0.0877217162167114,-0.187770577207895,-0.06934696715692,-0.108400738394784,-0.102841919992913,-0.00702280347695128,-0.0573671459946054,0.033316999254231
5379,0,-0.0606718064418884,-0.132216641142061,-0.205814546574709,-0.170704433653078,-0.171234126721723,-0.124916262648233,-0.0256135382169251,0.011906959809759
5380,0,-0.0786637154618757,-0.121079511997552,-0.0476127230697737,-0.0717783640463773,-0.0675150577924581,0.024833030340853,-0.0522678873647821,0.0409310517032344
