Patch Number,"Regional strain value, cardiac phase_1","Regional strain value, cardiac phase_2","Regional strain value, cardiac phase_3","Regional strain value, cardiac phase_4","Regional strain value, cardiac phase_5","Regional strain value, cardiac phase_6","Regional strain value, cardiac phase_7","Regional strain value, cardiac phase_8","Regional strain value, cardiac phase_9","Regional strain value, cardiac phase_10","Regional strain value, cardiac phase_11"
8102,0,-0.123487459071793,-0.0823361420043628,-0.158749865547758,-0.152381779195846,-0.180376728770387,-0.182070055192746,-0.127635815930985,-0.0819934938031027,-0.0598688285484418,-0.0335070061201032
8103,0,-0.0728901488530802,-0.0647026139522814,-0.0745997173481486,-0.115964495616628,-0.103851597856765,-0.120452034675701,-0.10036327057265,-0.137595903123712,-0.0929382067468812,0.0244179502267143
8104,0,-0.126522304327438,-0.0684915443591257,-0.158256310352193,-0.133874306945044,-0.183744183328001,-0.171726874109072,-0.125604246281488,-0.0662063841413174,-0.0533229576732351,-0.0242597959987292
8105,0,-0.0793834863005336,-0.0713231497679313,-0.077732589949698,-0.119783968913283,-0.106173582153346,-0.123186639837738,-0.0986157241320452,-0.138102052956415,-0.0935992608565847,0.0228080517815674
8106,0,-0.120640719727862,-0.063104382389597,-0.147632158850662,-0.127546191340478,-0.176116089161392,-0.163112610586997,-0.119885992773421,-0.0646970629946351,-0.0485997433179677,-0.0226512545784481
8107,0,-0.0885061503556254,-0.0787967213993852,-0.0809047337129819,-0.128843216430355,-0.111605529187413,-0.130157382309202,-0.0942568634010217,-0.136957953217233,-0.104795246135463,0.0189172596879559
8108,0,-0.114159818646886,-0.0680980816816289,-0.152749415600446,-0.136115991166093,-0.16886447915253,-0.163257721115873,-0.115249568578156,-0.087420996140648,-0.0507502327069631,-0.0351250209445461
8109,0,-0.0967608390983048,-0.0867147229793551,-0.0864900077415229,-0.138860242441771,-0.117649339146633,-0.13846805243771,-0.0914699971178267,-0.136132862906683,-0.115606975179925,0.0155772790169459
8110,0,-0.108733030070789,-0.0606461593095473,-0.16080631894935,-0.12732037875544,-0.166894053636501,-0.155155130738148,-0.111002166851162,-0.0955860765523462,-0.0509316860624287,-0.0391064019174634
8111,0,-0.105425525400349,-0.095410286239759,-0.0929506475654086,-0.14225722853304,-0.120297054680888,-0.141629232572042,-0.093151341896083,-0.139258756068148,-0.118395664616569,0.00914859841320403
8112,0,-0.103832405443078,-0.0539060042580909,-0.150355144199743,-0.12111056988245,-0.159980574859737,-0.147029825635309,-0.105934935052103,-0.0939303798850515,-0.0455116161255833,-0.0373299674642431
8113,0,-0.134353488397757,-0.10816663750139,-0.113196988038463,-0.151709742903979,-0.124242596207086,-0.143730041630468,-0.102621954291532,-0.158528651901812,-0.122757971978865,-0.00690150516349808
8114,0,-0.0989917535168927,-0.047529934319064,-0.140232463742084,-0.115547476825019,-0.153625309003034,-0.139358868381206,-0.10106733484063,-0.0924316163366298,-0.0403605235262343,-0.035207397228986
8115,0,-0.127346939001072,-0.110852578473119,-0.108748832395976,-0.142608390032596,-0.116382160489728,-0.137577141155055,-0.103308639763833,-0.150937206047404,-0.11549348323294,0.00179141991668463
8116,0,-0.0502808045151958,-0.0165720323944152,-0.0902428775697353,-0.073716426713057,-0.129797523007305,-0.113708443393519,-0.0858403008470506,-0.0739488593536143,-0.0552382333312098,-0.0322832911438738
8117,0,-0.118062622294546,-0.11384562397386,-0.104839708641072,-0.1388032924604,-0.113702249671877,-0.138228847223164,-0.101386985365551,-0.139490532794896,-0.112909623004428,0.00974127075896192
8118,0,-0.0367694873293783,-0.0144158502275024,-0.0602631240136041,-0.0654053071499494,-0.120467361053825,-0.101781669694906,-0.0776907459407397,-0.0557820547280484,-0.043454875231804,-0.0153713723311818
8119,0,-0.0834289134661698,-0.109107686885293,-0.0921099767928019,-0.13162471818909,-0.102944630798228,-0.13793436807522,-0.118155660865757,-0.147619999651323,-0.114505131074889,0.0126459163242585
8120,0,-0.0486464967934523,-0.0153646469912201,-0.080222390432694,-0.0798110402518415,-0.119517801285992,-0.107145468566087,-0.0788587633556835,-0.068480186843127,-0.02935763160064,-0.023699839258647
8121,0,-0.0686767743349755,-0.104982855459787,-0.0868025412261363,-0.124972271382421,-0.0979435351249003,-0.132184678007924,-0.120240534283402,-0.142587514681096,-0.101726518719574,0.0137948168172977
8122,0,-0.0140997528596212,0.00334459844885115,-0.0471449200726942,-0.0615563133011579,-0.103341351976415,-0.0992888069104142,-0.0701600813043421,-0.0505590380919603,-0.0393523143954319,-0.0206315714525676
8123,0,-0.0133326603469971,0.00299022158739048,-0.0476731320426611,-0.053710215242355,-0.100676034816336,-0.0898515884337641,-0.0656486400452684,-0.0557845413767705,-0.030569979374795,-0.0210564840804279
8124,0,-0.106748614078797,-0.120601013370583,-0.107351651972598,-0.135749621315934,-0.107643700846874,-0.133648118972766,-0.104290371662976,-0.130301612546022,-0.0917205976711742,0.0111281589435133
8125,0,-0.00382561818731164,0.00382465445253155,-0.0439035156261456,-0.0431659401516457,-0.0973523332617038,-0.0753552984632501,-0.0572520632032427,-0.0697868460299209,-0.0276088654868926,-0.0160326754570019
8126,0,-0.103099219907159,-0.124958709343598,-0.110881910978923,-0.14119696468092,-0.110232873009327,-0.140935135857133,-0.114277328938547,-0.138722930124898,-0.102432711302156,0.000132686338596866
8127,0,0.036226877960041,0.0153898962491117,-0.0126823942071965,-0.0252760041288862,-0.0812722755233849,-0.0682453905875035,-0.0469033501044112,-0.0520180607079642,-0.0319653737967055,-0.00802182838396959
8128,0,0.0125979745855438,-0.0439360395489723,-0.0467820136278021,-0.0645554035839991,-0.0831638882680822,-0.0922456868946829,-0.070523899929688,-0.0626416242051984,-0.0160216805735318,-0.00687008860300165
8129,0,0.0100396112154362,-0.0384472990764269,-0.062361365779646,-0.0452526861283276,-0.0688193924678134,-0.0752418195609166,-0.0699064861496561,-0.0764964094142434,-0.0206293909688863,-0.0172701344371331
8130,0,-0.0828721594654265,-0.110767720567274,-0.10443722580743,-0.13802387893758,-0.108878103896342,-0.152360699370417,-0.130039972483471,-0.146522341114072,-0.113485570847775,-0.017316775810198
8131,0,0.0244739650497579,-0.00781661432536995,-0.013053513546432,-0.0523712385641635,-0.0896229338779315,-0.0847695585764338,-0.0542902668766114,-0.0422609544057606,-0.0214399969153136,0.00810897393785526
8132,0,-0.0124445146909616,-0.0596300776343998,-0.0636938526729669,-0.0840925347928623,-0.097150706798713,-0.100447766605419,-0.0683731026470072,-0.0769940189504156,-0.00464215971911164,-0.00835747501601158
8133,0,-0.00453153155844266,-0.0482317736943747,-0.0737741650843118,-0.053152055982955,-0.0717304987114322,-0.0757760312436199,-0.0719017972045486,-0.087852452070013,-0.0220545457188045,-0.0216415687697633
8134,0,-0.00876400965129187,-0.064343993385183,-0.0740697857750555,-0.0680911447009896,-0.0785061428261674,-0.0885495102125774,-0.0820580567117876,-0.0874318836564368,-0.0325734936103996,-0.0223091936548984
8135,0,-0.103606804350764,-0.127673661237282,-0.11604138447899,-0.14535981761489,-0.113797712784437,-0.146079344805475,-0.11535436000754,-0.136407187658275,-0.0955685007677369,-0.00974371843164901
8136,0,-0.0207448549220478,-0.0165680027968172,-0.0400557561495205,-0.0857620505942719,-0.103864961757197,-0.0990106768009347,-0.0645064970697351,-0.0519728186434474,-0.00154909727788832,0.00608910110095429
8137,0,0.03409678446271,0.000483894417241837,-0.00476479598771984,-0.0541158046047319,-0.0855316404229337,-0.0870012714789121,-0.0506362693780508,-0.0413724207366288,-0.00238897362581392,0.0103413994363946
8138,0,0.00887053720968978,-0.0418998594254553,-0.065735476366118,-0.0522825754591262,-0.0719442657106141,-0.0794514901933777,-0.067167392142957,-0.0794529430742279,-0.0172783487008221,-0.0174796594817882
8139,0,0.0156143485691702,-0.0459383816900121,-0.0599361871646872,-0.0474038039063649,-0.0644485155528104,-0.0773214224708501,-0.077378306427891,-0.0778289284969743,-0.0353195256032391,-0.0206861676300386
8140,0,-0.0558826280876198,-0.101064157484879,-0.0955656525907996,-0.126274106307803,-0.098419809345421,-0.135093650116165,-0.127475424618959,-0.130473527141505,-0.0887116759068092,-0.0153079032001902
8141,0,0.0195658086642911,0.0102500619893562,-0.0200289912824378,-0.0538550600036718,-0.0866689628782431,-0.0808532125904892,-0.050444438706058,-0.056625795823073,-0.00904223462949416,0.00046002241171017
8142,0,0.0299189437646272,0.0135138800154972,-0.0102159048226756,-0.0584387820297214,-0.0847158414788073,-0.0887920836881455,-0.0508366471093185,-0.045412926905255,-0.00352130243277426,0.00552004434724318
8143,0,0.00238421011882539,-0.0204361991967265,-0.0415275873477643,-0.0698946326961206,-0.09230836685064,-0.0963143627686732,-0.0586693061279953,-0.0508834639974132,0.00253494732242121,0.0030583781064788
