Patch Number,"Regional strain value, cardiac phase_1","Regional strain value, cardiac phase_2","Regional strain value, cardiac phase_3","Regional strain value, cardiac phase_4","Regional strain value, cardiac phase_5","Regional strain value, cardiac phase_6","Regional strain value, cardiac phase_7","Regional strain value, cardiac phase_8","Regional strain value, cardiac phase_9","Regional strain value, cardiac phase_10","Regional strain value, cardiac phase_11"
1203,0,0.00387399336837801,-0.037511437843478,-0.191377707034476,-0.175988504404574,-0.201599782284405,-0.192174610844647,-0.0689738754989642,-0.0678223533353799,-0.0237487086383339,-0.0145551473449204
1204,0,0.00930244037721373,-0.0454213534889734,-0.168445404469402,-0.1695852343857,-0.192466526300845,-0.199567675939992,-0.0745378776352648,-0.0659596165070986,-0.0265594568171693,-0.0212759349986431
1205,0,0.0457894029854329,0.00930129816043102,-0.0775585511295849,-0.0875380546886371,-0.137672904242896,-0.131722154631093,-0.0581417400883947,-0.0450519746074872,-0.0583024490214026,-0.00860319174289037
1206,0,-0.0128974969135405,-0.0960444747236358,-0.195557502333989,-0.225279265608569,-0.213780075890079,-0.195188735364682,-0.110758064716395,-0.0783399145004262,-0.0424857889776403,-0.0518144468897059
1207,0,-0.0142902642089252,-0.0331951719448644,-0.173861859840524,-0.166340080293803,-0.191696737855304,-0.204970874885269,-0.076058949329934,-0.0729770986516102,-0.0509258231655121,-0.0544571227404959
1208,0,-0.0099295333165218,-0.052005884811722,-0.178753598208883,-0.181703137574392,-0.203318711561007,-0.221518451909642,-0.088135006985955,-0.0804955622660998,-0.0400916812357129,-0.0429310662625527
1209,0,0.0534404110833571,-0.00403756061716032,-0.0980193225353744,-0.105439801797454,-0.156839326484378,-0.134879416142278,-0.0762540524470332,-0.0711407592343924,-0.0631203491206457,0.00164618651978787
1210,0,-0.0266669709020295,-0.107443294231016,-0.208437633073293,-0.238535998095805,-0.236157923493055,-0.22354151527307,-0.130177393037212,-0.104359802623948,-0.0645338331763259,-0.0680932533478101
1211,0,0.019018265461392,-0.0317438984117969,-0.142374120875521,-0.156230727375583,-0.178166028541586,-0.19030478096945,-0.0875093419674894,-0.0806678907735658,-0.0527685519742952,-0.040087394348172
1212,0,0.00772892411323767,-0.0564682625699492,-0.145073942862648,-0.170199640682208,-0.185025836123543,-0.205947287429366,-0.0977164139715976,-0.0862941488675496,-0.0537235807460567,-0.0505864211555096
1213,0,0.0534526730267184,0.000159611717185149,-0.0974762647327581,-0.106497535313811,-0.155967060164792,-0.141549571191027,-0.0871369277228216,-0.079481947231267,-0.0684552415371672,-0.00747925130873184
1214,0,-0.0176212021375346,-0.096340311716867,-0.196151696869499,-0.233523238712834,-0.235160751461444,-0.231355748521391,-0.134716614443418,-0.108724623540978,-0.0535207094523898,-0.0625969077032285
1215,0,0.00550864376432147,-0.0516467134173794,-0.156754579084255,-0.176382455406112,-0.195642401369748,-0.214750874908213,-0.109356032157449,-0.100710144148383,-0.0574532457929959,-0.0493435659013497
1216,0,0.0470119375779869,-0.0187025574041199,-0.0864978964473887,-0.120567453599732,-0.158519596861485,-0.167571037287346,-0.102182624635765,-0.0825576129121451,-0.062634103055034,-0.0165280360050266
1217,0,-0.00866361624110545,-0.0869189121696213,-0.185582218132306,-0.23121117980483,-0.239822151429968,-0.247879710033622,-0.14589007172536,-0.121263629169916,-0.0519208623904909,-0.064514356183583
1218,0,-0.041904704770698,-0.0526400462917962,-0.231035741158973,-0.221355096226345,-0.254828718226287,-0.286288176924767,-0.137799226534119,-0.132064374564121,-0.058260530878174,-0.0668752365270812
1219,0,-0.0181147532991843,-0.0520341584566948,-0.20165772355853,-0.206833253106108,-0.240563890034759,-0.264831600172297,-0.134546996381866,-0.127860744207937,-0.0562912987811313,-0.0513939558442313
1220,0,0.0451659656503425,-0.0242431146423183,-0.0949055954819208,-0.13092887972735,-0.167130521792909,-0.180087027708286,-0.115426028787716,-0.094413416806773,-0.0639013525216587,-0.0189725771272403
1221,0,0.00834616654931519,-0.0900267056475836,-0.182220430419922,-0.235432016683241,-0.258336482743618,-0.256660383326186,-0.193966372358707,-0.142563849404448,-0.0601791333245352,-0.0549202297658711
1222,0,-0.0348155392885371,-0.0673593591670165,-0.232267327147907,-0.230818627234484,-0.261071994330526,-0.281961834784489,-0.157112419021296,-0.149176880734525,-0.06216737372845,-0.0608820180703341
1223,0,-0.0516736127008683,-0.0722448793997484,-0.269408792602402,-0.256001352390153,-0.300881796164797,-0.324972754658134,-0.16719629274868,-0.162886456569393,-0.0527904069769713,-0.0462243686994944
1224,0,-0.030721978995884,-0.0600357812347192,-0.219786807548863,-0.221706353162774,-0.261779138877655,-0.290870909193729,-0.152859338026775,-0.14613066395325,-0.0605202969961212,-0.0486129971395818
1225,0,0.0321605801241147,-0.0126678938630923,-0.0993774216764348,-0.126980300849083,-0.155910761706956,-0.187435743642678,-0.112151948368097,-0.0914164109096758,-0.0609151048097469,-0.0377638432668036
1226,0,0.00144986216323684,-0.0907444954643336,-0.184267674190108,-0.240760271253506,-0.270219479915437,-0.275729867862363,-0.204437190068456,-0.161150711214032,-0.0637849685167392,-0.0600702494664092
1227,0,-0.0706949113842388,-0.0954471106955563,-0.264637207725867,-0.270338185664955,-0.304332541472047,-0.330239654342576,-0.183269722171787,-0.170934141802061,-0.070764548292013,-0.0617466484605755
1228,0,0.0243437632702768,-0.019255042104062,-0.111422911896815,-0.13891134426269,-0.167308992973268,-0.202968071904993,-0.133893134080751,-0.111714535898466,-0.068679989008855,-0.0455429250545036
