Patch Number,"Regional strain value, cardiac phase_1","Regional strain value, cardiac phase_2","Regional strain value, cardiac phase_3","Regional strain value, cardiac phase_4","Regional strain value, cardiac phase_5","Regional strain value, cardiac phase_6","Regional strain value, cardiac phase_7","Regional strain value, cardiac phase_8","Regional strain value, cardiac phase_9"
1489,0,-0.0777261728943069,-0.158626883887105,-0.205840522331702,-0.235052378711231,-0.183783821706444,-0.106019551587057,-0.0331954053292378,-0.017874854169812
1490,0,-0.0871162597150584,-0.134395975575703,-0.191385800651112,-0.197600002090278,-0.161141965620985,-0.127815371011511,-0.00631978587828952,-0.0169536670199761
1491,0,-0.111797474532763,-0.166653942576301,-0.215193204510961,-0.235709965432639,-0.199298128554185,-0.129514364351313,-0.0362288631694283,-0.0211025540151716
1492,0,-0.119935041674172,-0.180460709497987,-0.220683648863399,-0.259051050493078,-0.199820603206931,-0.143229971909378,-0.056738962303014,-0.0295884256087229
1493,0,-0.117132832506243,-0.202441790904708,-0.245026836281479,-0.316978635533831,-0.232553727194691,-0.140694858353456,-0.107698316483834,-0.0295308515570472
1494,0,-0.198315235765509,-0.187339087019786,-0.230625570856013,-0.350778850427777,-0.203273110174139,-0.0850134150243876,-0.0598135026183878,-0.127885641384732
1495,0,-0.148438830974571,-0.165929674293547,-0.211721549122214,-0.186448677228761,-0.217519506317971,-0.134133316619979,0.0179175835781473,-0.0348522230767189
1496,0,-0.177211228826201,-0.139585053628756,-0.209573928144492,-0.144134463088788,-0.20013771802352,-0.171779915477331,0.0515098340168587,-0.0385570829263043
1497,0,-0.169417239478976,-0.162581201999735,-0.214247211930176,-0.173034482263602,-0.223349464582355,-0.147831835829494,0.0257378608295735,-0.0425797217073948
1498,0,-0.203868942564837,-0.196837859144509,-0.229814839004585,-0.204620989903635,-0.231325721559938,-0.176063794979378,0.00749717729805743,-0.04402602602937
1499,0,-0.209187218034844,-0.204353994860121,-0.250165697878506,-0.252136376693089,-0.248396740151931,-0.159551616435749,-0.0545730440406024,-0.0402366988723966
